node_id,name,parent_node_id
JAVA:1,Abstract Class,JAVA:119
JAVA:2,Abstract Class,JAVA:579
JAVA:3,Abstract Factory,JAVA:212
JAVA:4,Abstraction,JAVA:610
JAVA:5,Activity Diagram,JAVA:78
JAVA:6,Acyclic Dependency,JAVA:634
JAVA:7,Acyclic Graph,JAVA:320
JAVA:8,Afferent Coupling,JAVA:202
JAVA:10,Aggregation,JAVA:722
JAVA:11,Agile Development,JAVA:775
JAVA:12,Ajax,JAVA:452
JAVA:13,Algorithm Complexity,JAVA:832
JAVA:14,Amazon AWS,JAVA:372
JAVA:15,Angular JS,JAVA:452
JAVA:17,Anonymous Inner Class,JAVA:119
JAVA:18,Ant,JAVA:99
JAVA:19,Ant Tasks,JAVA:18
JAVA:21,AOP,JAVA:836
JAVA:22,Apache Commons Collections,JAVA:523
JAVA:27,Append,JAVA:618
JAVA:28,appengine archetype,JAVA:52
JAVA:50,Appletviewer,JAVA:431
JAVA:51,Appletviewer,JAVA:75
JAVA:53,Architecture Patterns,JAVA:993
JAVA:54,Array,JAVA:624
JAVA:55,Array List,JAVA:532
JAVA:56,Aspect Oriented Programming,JAVA:682
JAVA:57,Assert,JAVA:504
JAVA:58,Association,JAVA:722
JAVA:61,Atomic Integer,JAVA:63
JAVA:62,Atomic Long,JAVA:63
JAVA:63,Atomic Types,JAVA:565
JAVA:64,Attribute,JAVA:982
JAVA:66,Authentication,JAVA:957
JAVA:68,Authorization,JAVA:957
JAVA:69,Autoboxing,JAVA:642
JAVA:72,B-Tree,JAVA:83
JAVA:73,B+ Tree,JAVA:83
JAVA:74,Bag,JAVA:937
JAVA:75,Basic JDK Tools,JAVA:467
JAVA:77,Bean Managed Persistence,JAVA:246
JAVA:78,Behavior Diagram,JAVA:932
JAVA:79,Best Practices,JAVA:828
JAVA:81,Big-O Notation,JAVA:832
JAVA:83,Binary Search,JAVA:831
JAVA:84,Binary Search,JAVA:777
JAVA:85,Binary Search Tree,JAVA:83
JAVA:86,Binding Compiler,JAVA:981
JAVA:87,Bit Array,JAVA:808
JAVA:88,Black Box Testing,JAVA:930
JAVA:89,Blackbox Testing,JAVA:900
JAVA:90,Blocked,JAVA:907
JAVA:91,Bloom Filter,JAVA:808
JAVA:93,Bubble Sort,JAVA:832
JAVA:94,Bug Tracking,JAVA:902
JAVA:95,Bug Tracking,JAVA:900
JAVA:96,Bugfix,JAVA:826
JAVA:97,Bugzilla,JAVA:94
JAVA:98,Build,JAVA:557
JAVA:99,Build and Deployment,JAVA:827
JAVA:100,Build File,JAVA:18
JAVA:102,Build Phases,JAVA:557
JAVA:104,Build Profiles,JAVA:557
JAVA:106,Build Tools,JAVA:99
JAVA:107,Builder,JAVA:212
JAVA:109,Bytecode,JAVA:147
JAVA:110,C Header Generator,JAVA:597
JAVA:111,C++,JAVA:903
JAVA:112,C++,JAVA:681
JAVA:113,C++,JAVA:388
JAVA:114,C++ STL,JAVA:523
JAVA:115,C3PO,JAVA:158
JAVA:116,Cached Thread Pool,JAVA:910
JAVA:119,Class,JAVA:433
JAVA:120,Class,JAVA:579
JAVA:121,Class Diagram,JAVA:859
JAVA:122,Class File,JAVA:147
JAVA:124,Class Level Lock,JAVA:537
JAVA:125,Classpath,JAVA:506
JAVA:126,Clojure,JAVA:512
JAVA:127,Cloud Computing,JAVA:993
JAVA:128,Code Comments,JAVA:444
JAVA:129,Coding Conventions,JAVA:79
JAVA:130,Cohesion,JAVA:211
JAVA:132,Collision,JAVA:329
JAVA:134,Comments,JAVA:433
JAVA:136,Common Closure,JAVA:633
JAVA:137,Common Coupling,JAVA:542
JAVA:138,Common Reuse,JAVA:633
JAVA:139,Communication Diagram,JAVA:402
JAVA:140,Comparable,JAVA:831
JAVA:141,Comparator,JAVA:831
JAVA:143,Compile,JAVA:102
JAVA:147,Compiler,JAVA:681
JAVA:148,Compiler Plugin,JAVA:560
JAVA:149,Component Diagram,JAVA:859
JAVA:151,Composite Structure Diagram,JAVA:859
JAVA:152,Composition,JAVA:722
JAVA:153,Concurrency,JAVA:591
JAVA:154,Concurrent Mark Sweep GC,JAVA:283
JAVA:155,Concurrent Random Numbers,JAVA:565
JAVA:158,Connection Pool,JAVA:189
JAVA:160,Constant,JAVA:13
JAVA:161,Constructor,JAVA:119
JAVA:162,Constructor,JAVA:606
JAVA:163,Container,JAVA:415
JAVA:164,Container Managed Persistence,JAVA:237
JAVA:165,Container Managed Persistence,JAVA:246
JAVA:166,Container Managed Signon,JAVA:237
JAVA:167,Container Managed Transaction,JAVA:237
JAVA:168,Container Managed Transaction,JAVA:503
JAVA:169,Content Coupling,JAVA:542
JAVA:170,Contention,JAVA:153
JAVA:171,Continuous Integration,JAVA:99
JAVA:173,Control Coupling,JAVA:542
JAVA:174,CORBA,JAVA:379
JAVA:175,CORBA,JAVA:620
JAVA:176,CORBA,JAVA:795
JAVA:178,Cryptographic Hash,JAVA:329
JAVA:179,Cuckoo Hash,JAVA:329
JAVA:181,CVS,JAVA:944
JAVA:182,Cyclic Graph,JAVA:320
JAVA:183,Daemon,JAVA:591
JAVA:184,Daemon Thread,JAVA:904
JAVA:185,Data Access,JAVA:680
JAVA:186,Data Coupling,JAVA:542
JAVA:187,Data Structures,JAVA:680
JAVA:188,Database,JAVA:185
JAVA:189,Database Connection,JAVA:188
JAVA:190,Database Index,JAVA:73
JAVA:192,DBCP,JAVA:158
JAVA:193,Deadlock,JAVA:875
JAVA:194,Debugger,JAVA:485
JAVA:195,Decorator,JAVA:212
JAVA:197,Degree of Coupling,JAVA:578
JAVA:198,Delete,JAVA:842
JAVA:199,Dependency Injection,JAVA:212
JAVA:200,Dependency Inversion,JAVA:830
JAVA:201,Dependency Management,JAVA:557
JAVA:202,Dependency Metrics,JAVA:578
JAVA:205,Deployment Descriptor,JAVA:416
JAVA:206,Deployment Diagram,JAVA:859
JAVA:207,Deprecation,JAVA:581
JAVA:208,Dequeue,JAVA:708
JAVA:209,Deserialization,JAVA:794
JAVA:210,Design By Contract,JAVA:211
JAVA:211,Design Guidelines,JAVA:611
JAVA:212,Design Pattern,JAVA:993
JAVA:213,Design Principles,JAVA:611
JAVA:215,DevOps,JAVA:828
JAVA:217,Dictionaries,JAVA:588
JAVA:218,Directed Acyclic Graph,JAVA:320
JAVA:219,Disassembler,JAVA:109
JAVA:220,Disassembler,JAVA:472
JAVA:221,Disassembler,JAVA:122
JAVA:222,Distribution,JAVA:557
JAVA:223,Document,JAVA:102
JAVA:224,Documentation,JAVA:79
JAVA:225,Documentation,JAVA:557
JAVA:226,Double Hashing,JAVA:329
JAVA:227,Double Linked List,JAVA:529
JAVA:228,DTD,JAVA:982
JAVA:229,Durable Subscriber,JAVA:917
JAVA:230,Dynamic Collection,JAVA:532
JAVA:231,Dynamic Collection,JAVA:54
JAVA:232,E-Commerce,JAVA:957
JAVA:233,Ear,JAVA:432
JAVA:234,Ear,JAVA:205
JAVA:235,Eclipse,JAVA:374
JAVA:236,Efferent Coupling,JAVA:202
JAVA:237,EJB Container,JAVA:163
JAVA:238,EJB Context,JAVA:240
JAVA:239,EJB QL,JAVA:240
JAVA:240,EJBs,JAVA:416
JAVA:241,Elastic Capacity,JAVA:127
JAVA:242,Element,JAVA:982
JAVA:243,Encapsulation,JAVA:610
JAVA:246,Entity Beans,JAVA:240
JAVA:247,Enum,JAVA:119
JAVA:248,Enumerator,JAVA:413
JAVA:249,Equals,JAVA:332
JAVA:250,Erlang,JAVA:280
JAVA:251,ESB,JAVA:53
JAVA:252,Estimation,JAVA:828
JAVA:253,Exception,JAVA:433
JAVA:254,Exception Handler,JAVA:253
JAVA:255,Exponential,JAVA:13
JAVA:256,Extreme Programming,JAVA:11
JAVA:261,Factory Method,JAVA:212
JAVA:267,Fields,JAVA:119
JAVA:268,Final,JAVA:581
JAVA:269,Finalizer,JAVA:283
JAVA:270,Finalizer,JAVA:606
JAVA:271,Finally,JAVA:929
JAVA:272,Fixed Thread Pool,JAVA:910
JAVA:273,Force.com,JAVA:631
JAVA:274,Fourth Generation Language,JAVA:903
JAVA:275,Framework,JAVA:440
JAVA:280,Functional Programming,JAVA:682
JAVA:281,GAE SDK Plugin,JAVA:560
JAVA:282,GangOfFour,JAVA:212
JAVA:283,Garbage Collector,JAVA:566
JAVA:284,Generalization,JAVA:722
JAVA:285,Generalization,JAVA:861
JAVA:286,Generational Garbage Collector,JAVA:283
JAVA:287,Generics,JAVA:680
JAVA:288,Git,JAVA:944
JAVA:307,Gmail,JAVA:756
JAVA:308,Go,JAVA:388
JAVA:309,Go,JAVA:903
JAVA:310,Go,JAVA:681
JAVA:313,google appengine,JAVA:631
JAVA:317,Google Guava Collections,JAVA:523
JAVA:319,Governance,JAVA:711
JAVA:320,Graph,JAVA:187
JAVA:321,Graph Database,JAVA:320
JAVA:322,Groovy,JAVA:681
JAVA:323,Groovy,JAVA:388
JAVA:324,Groovy,JAVA:903
JAVA:325,Groovy,JAVA:512
JAVA:328,Hard Reference,JAVA:719
JAVA:329,Hash Code,JAVA:332
JAVA:330,Hash Set,JAVA:332
JAVA:331,Hash Set,JAVA:808
JAVA:332,HashMap,JAVA:588
JAVA:333,Hashtable,JAVA:588
JAVA:334,Haskell,JAVA:540
JAVA:338,Heap,JAVA:708
JAVA:339,Heap,JAVA:566
JAVA:340,Heap Dump,JAVA:564
JAVA:341,HeapSpace,JAVA:338
JAVA:344,Hibernate,JAVA:625
JAVA:363,Home Interface,JAVA:240
JAVA:364,Hopscotch Hash,JAVA:329
JAVA:365,Horizontal Scaling,JAVA:764
JAVA:366,Hotfix,JAVA:826
JAVA:367,HotSpot JVM,JAVA:506
JAVA:369,HTML,JAVA:959
JAVA:370,HTTP,JAVA:959
JAVA:371,HTTPS,JAVA:959
JAVA:372,IaaS,JAVA:127
JAVA:373,IBM J9,JAVA:465
JAVA:374,IDE,JAVA:827
JAVA:375,Identity,JAVA:332
JAVA:377,IDL,JAVA:620
JAVA:379,Idlj,JAVA:740
JAVA:380,Idlj,JAVA:377
JAVA:381,Idlj,JAVA:619
JAVA:382,Ignored Test Case,JAVA:504
JAVA:383,IIOP,JAVA:727
JAVA:385,Immutable,JAVA:386
JAVA:386,Immutable Objects,JAVA:565
JAVA:388,Imperative Programming,JAVA:682
JAVA:390,Inheritance,JAVA:284
JAVA:391,Inheritance,JAVA:610
JAVA:392,Inheritance,JAVA:268
JAVA:393,Inner Class,JAVA:119
JAVA:394,Insert,JAVA:842
JAVA:395,Insert,JAVA:618
JAVA:396,Instability,JAVA:202
JAVA:398,Instance,JAVA:606
JAVA:401,Intellij Idea,JAVA:374
JAVA:402,Interaction Diagram,JAVA:78
JAVA:403,Interface,JAVA:716
JAVA:404,Interface,JAVA:579
JAVA:405,Interface,JAVA:433
JAVA:406,Interface Segregation,JAVA:830
JAVA:407,Interpreted JVM Languages,JAVA:681
JAVA:408,Interpreter,JAVA:407
JAVA:409,Interrupt,JAVA:909
JAVA:410,Intrinsic Lock,JAVA:537
JAVA:411,iPlanet,JAVA:417
JAVA:412,Issue Tracking,JAVA:902
JAVA:413,Iterate,JAVA:618
JAVA:414,Iterator,JAVA:413
JAVA:415,J2EE,JAVA:993
JAVA:416,J2EE Application,JAVA:415
JAVA:417,J2EE Server,JAVA:163
JAVA:418,Jacl,JAVA:407
JAVA:419,Jacl,JAVA:884
JAVA:420,Jar,JAVA:432
JAVA:421,Jar Signature,JAVA:422
JAVA:422,Jarsigner,JAVA:466
